index,client_hash_id,content_hash_id,trend_pct_at_T,p_recovery,impact_at_risk,priority_score,reason_code
20462,client_73cda7b4e4f265ea,content_abdabdcef47993ef,-49.532710280373834,0.7191943365964475,0.2066083483685977,0.058016794328356366,low_impact_likely_recovers
6277,client_e547b89c05043229,content_0f40180348424e1b,-23.970037453183522,0.5903805094068801,0.14163489860042866,0.05801641501491577,low_impact_likely_recovers
25341,client_ba65e80a1116ae41,content_a7941ac41ad1cecd,-100.0,0.26621782071847205,0.07906195016426218,0.05801425008977986,low_impact_low_recovery
12074,client_08a6a72ff48e62c0,content_4fe7c859f41e3c8b,-72.91666666666666,0.7321277428507972,0.2165700951271816,0.058013120212735705,low_impact_likely_recovers
8446,client_08a6a72ff48e62c0,content_e7afd12137e8cf95,-58.620689655172406,0.7414303100519086,0.22435312628683465,0.058010918302871826,low_impact_likely_recovers
20180,client_62f4a7e64f5e0096,content_d32dcefc23601e19,-44.44444444444444,0.6923031915801012,0.18852995544677797,0.058010065582519296,low_impact_likely_recovers
4675,client_08a6a72ff48e62c0,content_b782684bf2b76781,-81.7102817102817,0.9047885434988459,0.6092326718762076,0.05800593003742345,high_impact_likely_recovers
3283,client_fef1a8f436438636,content_5cd61056baad9156,-27.82608695652174,0.5568882632283578,0.13089805796921272,0.05800246580677294,low_impact_likely_recovers
23830,client_2094c6eb080311d5,content_3f600789e41f439c,-57.14285714285714,0.41184658666574697,0.09860869988313951,0.057997043420721456,low_impact_likely_recovers
30930,client_3ffa76342f366962,content_af03fb7b46c5a3b9,-50.0,0.3278327178793042,0.08628261239774708,0.057996349069667115,low_impact_likely_recovers
4691,client_08a6a72ff48e62c0,content_e8cf1d17d9e1ec3a,-81.7102817102817,0.9047117560519014,0.6086358335315898,0.05799583978111249,high_impact_likely_recovers
4667,client_08a6a72ff48e62c0,content_a658f3092d1a99dd,-81.7102817102817,0.9047029578993356,0.608569979388391,0.05799491894697594,high_impact_likely_recovers
4240,client_62f4a7e64f5e0096,content_19cc2ad6f66c8eaa,-42.32209737827715,0.7093529144347017,0.1995276912275745,0.05799214194486726,low_impact_likely_recovers
25630,client_08a6a72ff48e62c0,content_24f9a3c74d9b33c8,-81.7102817102817,0.9047029578993356,0.608534199087295,0.057991509190116024,high_impact_likely_recovers
12486,client_2e65897d94f60220,content_74107de9f8291d10,-23.52941176470588,0.0778351172650377,0.06288194933523925,0.057987525434876744,low_impact_low_recovery
